公司代號,公司簡稱,財務結構-負債佔資產比率(%),財務結構-長期資金佔不動產、廠房及設備比率(%),償債能力-流動比率(%),償債能力-速動比率(%),償債能力-利息保障倍數(%),經營能力-應收款項週轉率(次),經營能力-平均收現日數,經營能力-存貨週轉率(次),經營能力-平均售貨日數,經營能力-不動產、廠房及設備週轉率(次),經營能力-總資產週轉率(次),獲利能力-資產報酬率(%),獲利能力-權益報酬率(%),獲利能力-稅前純益佔實收資本比率(%),獲利能力-純益率(%),獲利能力-每股盈餘(元),現金流量-現金流量比率(%),現金流量-現金流量允當比率(%),現金流量-現金再投資比率(%),年份
2732,六角,54.01,516.52,121.73,103.5,5.98,14.93,24.44,11.19,32.61,7.04,0.93,4.06,7.46,44.04,3.66,3.08,23.91,102.68,3.82,109
2723,美食-KY,47.54,257.43,134.19,117.54,906.31,62.06,5.88,10.71,34.08,3.49,0.95,5.59,9.91,83.35,5.39,6.07,58.04,195.49,17.66,110
2727,王品,75.03,280.44,87.74,55.38,-46.32,49.29,7.4,5.79,63.03,8.3,1.27,-0.23,-5.44,-33.56,-1,-1.4,30.75,128.28,40.29,110
1268,漢來美食,57.18,218.4,155.31,129.57,4.16,18.53,19.69,13.28,27.48,3.44,0.64,2.13,4.04,20.76,2.57,2.01,28.94,98.31,3.98,110
2729,瓦城,62.66,192.3,96.33,87.14,7.43,14.81,24.64,15.64,23.33,2.48,0.76,3.35,7.75,82.07,3.8,7.04,37.71,131.65,8.15,110
2732,六角,49.86,558.21,128.87,104.12,9.24,12.07,30.24,9.19,39.71,8.19,0.96,3.23,5.9,39.04,2.93,3.08,13.86,95.26,-3.79,110
2723,美食-KY,47.33,219.32,119.86,99.99,508.5,60.52,6.03,9.47,38.54,2.99,0.95,2.83,4.32,40.26,2.41,2.68,41.49,191.73,13.49,111
2727,王品,74.58,285.75,94.19,61.01,340.62,41.53,8.78,4.9,74.48,8.82,1.3,2.76,8.6,48.03,1.41,5.15,36.24,134.31,54.34,111
1268,漢來美食,70.54,175.1,137.8,111.69,6.67,20.01,18.24,13.88,26.29,3.81,0.69,2.74,6.76,33.05,3.46,3.08,38.48,109.63,8.25,111
2729,瓦城,50,162.53,89.76,70.4,6.72,13.01,28.05,14.27,25.57,2.47,0.93,2.71,5.31,47.86,2.43,3.62,45.97,134.85,13.15,111
2732,六角,50.23,623.19,134.34,108.79,22.46,9.78,37.32,7.81,46.73,8.9,0.99,7.3,13.95,83.27,7.03,6.56,38.2,109.7,17.91,111
2723,美食-KY,43.61,209.4,135.44,114.25,758.06,62.1,5.87,9.15,39.89,3.04,1.05,4.29,6.83,58.56,3.64,4.2,56.16,170.57,14.45,112
2727,王品,69.97,352.78,115.19,90.08,1606.88,43.19,8.45,5.93,61.55,9.45,1.4,9.69,36.34,204.71,6.18,16.79,59.72,200.75,56.17,112
1268,漢來美食,69.23,126.79,113.87,91.82,13.69,21.32,17.12,15.32,23.82,3.57,0.74,5.2,16.04,91.28,6.53,7.61,42.73,121.69,12.31,112
2729,瓦城,50.06,165.25,77.12,55.9,31.25,13.87,26.31,12.91,28.27,2.76,1.17,9.2,18.33,152.96,7.57,12.37,66.69,140.91,22.65,112
2732,六角,55.97,532.19,119.63,104.84,15.84,9.34,39.07,8.28,44.08,7.75,0.87,7.38,14.92,82.12,7.93,6.42,38.83,112.22,19.99,112
2723,美食-KY,42.4,200.62,132.61,108.71,901.86,65.76,5.55,8.81,41.43,2.62,0.97,3.47,5.41,61.67,3.16,3.28,49.29,168.55,11.39,113
2727,王品,64.91,366.58,120.39,95.61,1627.32,41.85,8.72,7.38,49.45,9.21,1.37,8.63,29.02,193.91,5.85,15.66,53.82,189.64,32.75,113
1268,漢來美食,67.75,131.76,116.52,94.25,9.84,24.67,14.79,17.19,21.23,3.32,0.85,6.73,19.22,124.62,7.16,10.06,49.81,119.52,11.57,113
2729,瓦城,54.08,156.54,79.13,54.78,24.96,14.46,25.24,12.08,30.21,2.47,1.11,6.57,13.47,110.18,5.68,9.01,58.17,121.45,10.65,113
2732,六角,54.21,634.89,183.9,161.8,7.61,9.22,39.58,9.25,39.45,6.61,0.79,4.89,9.5,56.91,5.4,4.79,38.64,93.32,6.15,113
